mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011684417724609375,0.002077996193793247,0.00827012062072754,0.002605402131654341,0.05,l1,liblinear,"{'clf__C': 0.05, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.2857142857142857,0.3181818181818182,0.4528301886792453,0.36619718309859156,0.44,0.3725846951347881,0.06562180114553583,24
0.010988664627075196,0.0011757556898618663,0.0067596912384033205,0.0022284259291534803,0.05,l2,liblinear,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.3333333333333333,0.2857142857142857,0.4166666666666667,0.41379310344827586,0.5,0.38990147783251233,0.07411315087744791,23
0.009715652465820313,0.0009366361997664942,0.00642862319946289,0.0003313490118853071,0.1,l1,liblinear,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.36,0.42424242424242425,0.45454545454545453,0.41379310344827586,0.4583333333333333,0.42218286311389763,0.035483889712327056,5
0.014862489700317384,0.002704661421807136,0.008152532577514648,0.0017330585895001457,0.1,l2,liblinear,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.391304347826087,0.30303030303030304,0.4090909090909091,0.3793103448275862,0.5,0.39654718095497704,0.06313451220939104,20
0.01733570098876953,0.008435097056610745,0.008355998992919922,0.0013291284960294293,0.3,l1,liblinear,"{'clf__C': 0.3, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.4,0.36363636363636365,0.46511627906976744,0.42105263157894735,0.5,0.4299610548570157,0.047994443647472323,3
0.012078571319580077,0.007407889535256992,0.005017757415771484,0.0008979776423137366,0.3,l2,liblinear,"{'clf__C': 0.3, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.38095238095238093,0.29411764705882354,0.4186046511627907,0.39285714285714285,0.46511627906976744,0.3903296202201811,0.05611343240839515,22
0.009018230438232421,0.0019281715143016859,0.004803991317749024,0.0011846074321697339,1.0,l1,liblinear,"{'clf__C': 1.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.38095238095238093,0.29411764705882354,0.42857142857142855,0.4,0.46511627906976744,0.3937515471304801,0.05733258230698161,21
0.008080148696899414,0.0004895763200633091,0.004838752746582031,0.0005078961864074979,1.0,l2,liblinear,"{'clf__C': 1.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.38095238095238093,0.3125,0.4186046511627907,0.4,0.47619047619047616,0.3976495016611296,0.05318375557667718,19
0.009122228622436524,0.0020992550862452162,0.005286979675292969,0.0005731628539969537,3.0,l1,liblinear,"{'clf__C': 3.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.38095238095238093,0.3125,0.4186046511627907,0.4074074074074074,0.47619047619047616,0.39913098314261103,0.053331561446128786,17
0.011407899856567382,0.006794537841484679,0.004834222793579102,0.0003916240211574086,3.0,l2,liblinear,"{'clf__C': 3.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.38095238095238093,0.3125,0.4090909090909091,0.4074074074074074,0.5,0.4019901394901395,0.06022752332286402,15
0.008070707321166992,0.0009163536376236476,0.006039237976074219,0.0005527322786514361,10.0,l1,liblinear,"{'clf__C': 10.0, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.38095238095238093,0.3225806451612903,0.4090909090909091,0.4074074074074074,0.5,0.4040062685223976,0.057295430306885706,11
0.009768962860107422,0.003253988605038289,0.006741857528686524,0.002172986145954803,10.0,l2,liblinear,"{'clf__C': 10.0, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.38095238095238093,0.3125,0.4186046511627907,0.41509433962264153,0.5,0.4054302743475627,0.06073811740162352,8
0.13095755577087403,0.0972646932296257,0.00700230598449707,0.001104565527855791,0.05,l1,saga,"{'clf__C': 0.05, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.3333333333333333,0.4666666666666667,0.45454545454545453,0.5,0.5238095238095238,0.4556709956709957,0.06587350740836577,1
0.045615100860595705,0.07053159276324164,0.007280683517456055,0.001335641926508032,0.05,l2,saga,"{'clf__C': 0.05, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.36363636363636365,0.3448275862068966,0.4090909090909091,0.41509433962264153,0.5,0.40652983971136214,0.05378401059200887,7
0.08231649398803711,0.08824796261517842,0.006470394134521484,0.002950973344713991,0.1,l1,saga,"{'clf__C': 0.1, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.3181818181818182,0.4666666666666667,0.46511627906976744,0.43636363636363634,0.5238095238095238,0.44202758481828247,0.0681150672430227,2
0.04438371658325195,0.061354105818321465,0.006328439712524414,0.0016588121155482812,0.1,l2,saga,"{'clf__C': 0.1, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.36363636363636365,0.3225806451612903,0.4090909090909091,0.4074074074074074,0.5,0.4005430650591942,0.059079793952813875,16
0.12684221267700196,0.09437982461103477,0.005599832534790039,0.0009069329129699704,0.3,l1,saga,"{'clf__C': 0.3, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.4,0.3225806451612903,0.46511627906976744,0.4,0.5365853658536586,0.4248564580169433,0.07183346148303214,4
